token,ShortName,Series,CompanyName,ticksize,Lotsize,DateOfListing,DateOfDeListing,IssuePrice,FaceValue,ISIN,52WeeksHigh,52WeeksLow,LifeTimeHigh,LifeTimeLow,HighDate,LowDate,Symbol,InstrumentType,PermittedToTrade,IssueCapital,WarningPercent,FreezePercent,CreditRating,IssueRate,IssueStartDate,InterestPaymentDate,IssueMaturityDate,BoardLotQty,Name,ListingDate,ExpulsionDate,ReAdmissionDate,RecordDate,ExpiryDate,NoDeliveryStartDate,NoDeliveryEndDate,MFill,AON,ParticipantInMarketIndex,BookClsStartDate,BookClsEndDate,EGM,AGM,Interest,Bonus,Rights,Dividends,LocalUpdateDateTime,DeleteFlag,Remarks,NormalMarketStatus,OddLotMarketStatus,SpotMarketStatus,AuctionMarketStatus,NormalMarketEligibility,OddLotlMarketEligibility,SpotMarketEligibility,AuctionlMarketEligibility,MarginPercentage,symbol
2027,SRE112,YL,0% SREI Equi Fin Ltd Mar 23,0.01,1,,,0,1000.0,INE872A07US1,5.6,1.85,1000.0,631.0,,,,0,0,0,960.0,640.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SREINFRA
2028,LYKLAB,EQ,LYKA LABS LTD,0.01,1,,,0,10.0,INE933A01014,172.5,97.9,267.0,8.15,,,,0,0,0,170.31,113.54,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,LYKALABS
20289,ROCDEA,SM,ROCKING DEALS CIRCULAR ECONOMY,0.01,1,,,0,10.0,INE0PTR01012,0.0,0.0,687.5,256.0,,,,0,0,0,676.9,451.3,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ROCKINGDCE
2029,INDR,EQ,INDIAN RAILWAY FIN CORP LTD,0.01,1,,,0,10.0,INE053F01010,229.0,65.75,229.0,19.3,,,,0,0,0,173.62,115.75,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,IRFC
20293,TATTEC,EQ,TATA TECHNOLOGIES LIMITED,0.01,1,,,0,2.0,INE142M01025,1400.0,970.1,1400.0,970.1,,,,0,0,0,1263.3,842.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,TATATECH
203,ASHMIN,EQ,ASHAPURA MINECHEM LTD,0.01,1,,,0,2.0,INE348A01023,483.2,273.0,483.2,5.88,,,,0,0,0,367.05,244.75,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ASHAPURMIN
20300,GYSALL,BE,SHAH METACORP LIMITED,0.01,1,,,0,1.0,INE482J01021,7.37,2.55,12.37,0.68,,,,0,0,0,5.41,4.9,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SHAH
20302,PREEST,EQ,PRESTIGE ESTATES PROJECTS LIMI,0.01,1,,,0,10.0,INE811K01011,2074.8,711.0,2074.8,57.55,,,,0,0,0,2102.75,1401.85,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,PRESTIGE
20303,GANOIL,EQ,GANDHAR OIL REFINERY INDIA LTD,0.01,1,,,0,2.0,INE717W01049,344.05,182.45,344.05,182.45,,,,0,0,0,277.93,185.28,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GANDHAR
2031,MAHMAH,EQ,MAHINDRA & MAHINDRA LIMITED,0.01,1,,,0,5.0,INE101A01026,3222.1,1450.0,3222.1,6.38,,,,0,0,0,3298.0,2698.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,M&M
